ID,Time,Item Name,Location,Coordinates,Parsed Time,time_diff
33002,10:00,Rarefied Pixie Apple,Il Mheg,"(x4,y23)",1900-01-01 10:00:00,-34
33004,10:00,Rarefied Miracle Apple Log,Il Mheg,"(x4,y23)",1900-01-01 10:00:00,-34
27836,10:00,Peppermint,Lakeland,"(x26,y20)",1900-01-01 10:00:00,-34
19860,10:00,Bamboo Shoot,Yanxia,"(x28,y25)",1900-01-01 10:00:00,-34
13767,10:00,Pearl Sprout Seeds,Coerthas Western Highlands,"(x31,y20)",1900-01-01 10:00:00,-34
13768,10:00,Coerthan Tea Seeds,Coerthas Western Highlands,"(x31,y20)",1900-01-01 10:00:00,-34
12882,10:00,Coerthan Tea Leaves,Coerthas Western Highlands,"(x31,y20)",1900-01-01 10:00:00,-34
32992,10:00,Rarefied Dark Chestnut Sap,The Dravanian Forelands,"(x29,y30)",1900-01-01 10:00:00,-34
32994,10:00,Rarefied Dark Chestnut Branch,The Dravanian Forelands,"(x29,y30)",1900-01-01 10:00:00,-34
32993,10:00,Rarefied Dark Chestnut Log,The Dravanian Forelands,"(x29,y30)",1900-01-01 10:00:00,-34
9518,10:00,Cypress Log,Central Shroud,"(x24.6,y28.5)",1900-01-01 10:00:00,-34
12877,10:00,Pearl Sprouts,Coerthas Western Highlands,"(x31,y20)",1900-01-01 10:00:00,-34
12884,10:00,Chives,Coerthas Western Highlands,"(x31,y20)",1900-01-01 10:00:00,-34
5159,10:00,Red Quartz,The Sea of Clouds,"(x8,y8)",1900-01-01 10:00:00,-34
